city,station,start_time,end_time,value
Mainz,9593,2024-03-26 11:00:00,2024-03-26 12:00:00,14.0
Mainz,9593,2024-03-27 11:00:00,2024-03-27 12:00:00,13.0
Mainz,9593,2024-03-28 11:00:00,2024-03-28 12:00:00,6.0
Mainz,9593,2024-03-29 11:00:00,2024-03-29 12:00:00,9.0
Mainz,9593,2024-03-30 11:00:00,2024-03-30 12:00:00,34.0
Mainz,9593,2024-03-31 11:00:00,2024-03-31 12:00:00,30.0
Mainz,9593,2024-04-01 11:00:00,2024-04-01 12:00:00,5.0
Mainz,9593,2024-04-02 11:00:00,2024-04-02 12:00:00,8.0
Mainz,9593,2024-04-03 11:00:00,2024-04-03 12:00:00,8.0
Mainz,9593,2024-04-04 11:00:00,2024-04-04 12:00:00,
Mainz,9593,2024-04-05 11:00:00,2024-04-05 12:00:00,9.0
Mainz,9593,2024-04-06 11:00:00,2024-04-06 12:00:00,14.0
Mainz,9593,2024-04-07 11:00:00,2024-04-07 12:00:00,19.0
Mainz,9593,2024-04-08 11:00:00,2024-04-08 12:00:00,32.0
Mainz,9593,2024-04-09 11:00:00,2024-04-09 12:00:00,17.0
Mainz,9593,2024-04-10 11:00:00,2024-04-10 12:00:00,12.0
Mainz,9593,2024-04-11 11:00:00,2024-04-11 12:00:00,16.0
Mainz,9593,2024-04-12 11:00:00,2024-04-12 12:00:00,13.0
Mainz,9593,2024-04-13 11:00:00,2024-04-13 12:00:00,15.0
Mainz,9593,2024-04-14 11:00:00,2024-04-14 12:00:00,9.0
Mainz,9593,2024-04-15 11:00:00,2024-04-15 12:00:00,13.0
Mainz,9593,2024-04-16 11:00:00,2024-04-16 12:00:00,4.0
Mainz,9593,2024-04-17 11:00:00,2024-04-17 12:00:00,6.0
Mainz,9593,2024-04-18 11:00:00,2024-04-18 12:00:00,
Mainz,9593,2024-04-19 11:00:00,2024-04-19 12:00:00,6.0
Mainz,9593,2024-04-20 11:00:00,2024-04-20 12:00:00,7.0
Mainz,9593,2024-04-21 11:00:00,2024-04-21 12:00:00,7.0
Mainz,9593,2024-04-22 11:00:00,2024-04-22 12:00:00,9.0
Mainz,9593,2024-04-23 11:00:00,2024-04-23 12:00:00,11.0
Mainz,9593,2024-04-24 11:00:00,2024-04-24 12:00:00,10.0
Mainz,9593,2024-04-25 11:00:00,2024-04-25 12:00:00,9.0
Mainz,9593,2024-04-26 11:00:00,2024-04-26 12:00:00,12.0
Mainz,9593,2024-04-27 11:00:00,2024-04-27 12:00:00,11.0
Mainz,9593,2024-04-28 11:00:00,2024-04-28 12:00:00,7.0
Mainz,9593,2024-04-29 11:00:00,2024-04-29 12:00:00,11.0
Mainz,9593,2024-04-30 11:00:00,2024-04-30 12:00:00,23.0
Mainz,9593,2024-05-01 11:00:00,2024-05-01 12:00:00,28.0
Mainz,9593,2024-05-02 11:00:00,2024-05-02 12:00:00,
Mainz,9593,2024-05-03 11:00:00,2024-05-03 12:00:00,7.0
Mainz,9593,2024-05-04 11:00:00,2024-05-04 12:00:00,15.0
Mainz,9593,2024-05-05 11:00:00,2024-05-05 12:00:00,6.0
Mainz,9593,2024-05-06 11:00:00,2024-05-06 12:00:00,6.0
Mainz,9593,2024-05-07 11:00:00,2024-05-07 12:00:00,10.0
Mainz,9593,2024-05-08 11:00:00,2024-05-08 12:00:00,13.0
Mainz,9593,2024-05-09 11:00:00,2024-05-09 12:00:00,16.0
Mainz,9593,2024-05-10 11:00:00,2024-05-10 12:00:00,17.0
Mainz,9593,2024-05-11 11:00:00,2024-05-11 12:00:00,18.0
Mainz,9593,2024-05-12 11:00:00,2024-05-12 12:00:00,17.0
Mainz,9593,2024-05-13 11:00:00,2024-05-13 12:00:00,17.0
Mainz,9593,2024-05-14 11:00:00,2024-05-14 12:00:00,18.0
Mainz,9593,2024-05-15 11:00:00,2024-05-15 12:00:00,16.0
Mainz,9593,2024-05-16 11:00:00,2024-05-16 12:00:00,
Mainz,9593,2024-05-17 11:00:00,2024-05-17 12:00:00,10.0
Mainz,9593,2024-05-18 11:00:00,2024-05-18 12:00:00,6.0
Mainz,9593,2024-05-19 11:00:00,2024-05-19 12:00:00,11.0
Mainz,9593,2024-05-20 11:00:00,2024-05-20 12:00:00,11.0
Mainz,9593,2024-05-21 11:00:00,2024-05-21 12:00:00,11.0
Mainz,9593,2024-05-22 11:00:00,2024-05-22 12:00:00,9.0
Mainz,9593,2024-05-23 11:00:00,2024-05-23 12:00:00,10.0
Mainz,9593,2024-05-24 11:00:00,2024-05-24 12:00:00,7.0
Mainz,9593,2024-05-25 11:00:00,2024-05-25 12:00:00,8.0
Mainz,9593,2024-05-26 11:00:00,2024-05-26 12:00:00,10.0
Mainz,9593,2024-05-27 11:00:00,2024-05-27 12:00:00,10.0
Mainz,9593,2024-05-28 11:00:00,2024-05-28 12:00:00,8.0
